"","OBJECTID","ID","ADDRESS","TERMINAL_NUMBER","LATITUDE","LONGITUDE","location","zipcode"
"114",158974820,454,"12th St & Pennsylvania Ave SE",31644,38.882489,-76.990121,"500-510 12th St SE, Washington, DC 20003, USA","20003"
"115",158974821,455,"3rd St & Riggs Rd NE",31412,38.957463,-77.002239,"310 Riggs Rd NE, Washington, DC 20011, USA","20011"
"116",158974822,456,"Carlin Springs Rd & N Thomas St",31919,38.876695,-77.112982,"4410 N Carlin Springs Rd, Arlington, VA 22203, USA","22203"
"117",158974823,457,"Towers Crescent Dr & Tysons One Pl",32222,38.915246,-77.220157,"8020 Towers Crescent Dr, Vienna, VA 22182, USA","22182"
"118",158974824,458,"6th & K St NE",31645,38.902877,-76.998405,"1001-1013 6th St NE, Washington, DC 20002, USA","20002"
"119",158974825,459,"Pooks Hill Rd & Linden Ave",32057,39.014716,-77.107143,"5300-5340 Pooks Hill Rd, Bethesda, MD 20814, USA","20814"
"120",158974826,460,"Takoma Park Rec Center",32059,38.98265,-76.988311,"7315-7371 New Hampshire Ave, Takoma Park, MD 20912, USA","20912"
"121",158974827,461,"New Hampshire & Kirklynn Ave",32061,38.988101,-76.988422,"7631-7669 Kirklynn Ave, Takoma Park, MD 20912, USA","20912"
"122",158974828,462,"Wheaton Metro/Georgia Ave & Reedie Dr",32062,39.038341,-77.051023,"11150 Georgia Ave, Silver Spring, MD 20902, USA","20902"
"123",158974829,463,"Amherst Ave & Elkins St",32063,39.044887,-77.047788,"11601-11603 Elkin St, Silver Spring, MD 20902, USA","20902"
"124",158974830,464,"Amherst Ave & Prichard Rd",32064,39.035965,-77.048395,"10934-10998 Amherst Ave, Silver Spring, MD 20902, USA","20902"
"125",158974831,465,"Grandview & Blueridge Ave",32065,39.043272,-77.053085,"11501-11511 Grandview Ave, Silver Spring, MD 20902, USA","20902"
"126",158974832,466,"Windham Ln & Amherst Ave",32066,39.032029,-77.04735,"2201-2257 Windham Ln, Silver Spring, MD 20902, USA","20902"
"127",158974833,467,"North Shore Dr & Village Rd",32223,38.970412,-77.340787,"11410 N Shore Dr, Reston, VA 20190, USA","20190"
"128",158974834,468,"Town Center Pkwy & Sunset Hills Rd",32224,38.955171,-77.363094,"Town Center Pkwy, Reston, VA 20190, USA","20190"
"129",158974835,469,"3rd & Underwood St NW",31413,38.968834,-77.016258,"6500 3rd St NW, Washington, DC 20012, USA","20012"
"130",158974836,470,"18th & Monroe St NE",31521,38.93293,-76.979517,"3421 18th St NE, Washington, DC 20018, USA","20018"
"131",158974837,471,"7th & E St SW",31294,38.88345,-77.021741,"450 7th St SW, Washington, DC 20024, USA","20024"
"132",158974838,472,"Shady Grove Metro East",32067,39.121327,-77.164969,"15903 Somerville Drive, Rockville, MD 20855, USA","20855"
"133",158974839,473,"Potomac & M St NW",31295,38.905368,-77.065149,"1203 Potomac St NW, Washington, DC 20007, USA","20007"
"134",158974840,474,"Columbia & Ontario Rd NW",31296,38.924088,-77.040787,"1747 Columbia Rd NW, Washington, DC 20009, USA","20009"
"135",158974841,475,"Washington-Lee High School / N Stafford St & Generals Way",31920,38.888282,-77.111066,"1301-1383 N Stafford St, Arlington, VA 22201, USA","22201"
"136",158974842,476,"Westover Library / Washington Blvd & N McKinley Rd",31921,38.886048,-77.142317,"5901-5927 Washington Blvd, Arlington, VA 22205, USA","22205"
"137",158974843,477,"Columbia Pike & S Taylor St",31923,38.858524,-77.103728,"969 S Taylor St, Arlington, VA 22204, USA","22204"
"138",158974844,478,"Columbus Ave & Tribeca St",32068,39.126,-77.1673,"Gramercy Blvd, Derwood, MD 20855, USA","20855"
"139",158974845,479,"Columbus Ave & Gramercy Blvd",32069,39.12333,-77.16486,"Columbus Avenue, Derwood, MD 20855, USA","20855"
"140",158974846,480,"Reston Pkwy & Spectrum Dr",32225,38.964208,-77.35428,"1761-1777 Reston Pkwy, Reston, VA 20190, USA","20190"
"141",158974847,481,"Key West Ave & Great Seneca Hwy",32070,39.105642,-77.20386,"9707 Decoverly Dr, Rockville, MD 20850, USA","20850"
"142",158974848,482,"Virginia Ave & 25th St NW",31297,38.8995,-77.054155,"Potomac River Fwy, Washington, DC 20037, USA","20037"
"143",158974849,483,"15th & M St NW",31298,38.905424,-77.034674,"1156-1198 15th St NW, Washington, DC 20005, USA","20005"
"144",158974850,484,"11th & Girard St NW",31126,38.925636,-77.027112,"2724 11th St NW, Washington, DC 20001, USA","20001"
"145",158974851,485,"Connecticut Ave & R St NW",31299,38.912644,-77.04564,"2009 R St NW, Washington, DC 20009, USA","20009"
"146",158974852,486,"Wilson Blvd & N Troy St",31924,38.892556,-77.082089,"2005 Wilson Blvd, Arlington, VA 22201, USA","22201"
"147",158974853,487,"Nebraska Ave/AU East Campus",31320,38.936298,-77.087128,"3533-3543 Nebraska Ave NW, Washington, DC 20016, USA","20016"
"148",158974854,488,"15th St & Constitution Ave NW",31321,38.892244,-77.033234,"1401-1499 Constitution Ave NW, Washington, DC 20230, USA","20230"
"149",158974661,113,"Columbus Circle / Union Station",31623,38.89696,-77.00493,"1 Columbus Circle Northeast, Washington, DC 20002, USA","20002"
"150",158974662,114,"North Capitol St & F St NW",31624,38.897446,-77.00989,"23-49 F St NW, Washington, DC 20001, USA","20001"
"151",158974663,115,"11th & M St NW",31266,38.905607,-77.027137,"1100-1112 M St NW, Washington, DC 20005, USA","20005"
"152",158974664,116,"36th & Calvert St NW / Glover Park",31304,38.922581,-77.070334,"12-80 Observatory Cir NW, Washington, DC 20008, USA","20008"
"153",158974665,117,"14th & G St NW",31238,38.898069,-77.031823,"699 14th St NW, Washington, DC 20005, USA","20005"
"154",158974666,118,"Potomac Ave & 35th St S",31052,38.844015,-77.050537,"3400 Potomac Ave, Arlington, VA 22202, USA","22202"
"155",158974667,124,"Ohio Dr & West Basin Dr SW / MLK & FDR Memorials",31240,38.88412,-77.04657,"4592 Ohio Dr SW, Washington, DC 20551, USA","20551"
"156",158974668,125,"11th & F St NW",31262,38.897857,-77.026975,"601-699 11th St NW, Washington, DC 20004, USA","20004"
"157",158974669,126,"23rd & E St NW",31260,38.896104,-77.049882,"2299 E St NW, Washington, DC 20037, USA","20037"
"158",158974670,127,"Lynn & 19th St North",31014,38.897315,-77.070993,"1912-1968 N Lynn St, Arlington, VA 22209, USA","22209"
"159",158974671,128,"Rosslyn Metro / Wilson Blvd & Ft Myer Dr",31015,38.8946,-77.072305,"1696-1798 N Fort Myer Dr, Arlington, VA 22209, USA","22209"
"160",158974672,129,"Clarendon Blvd & Pierce St",31016,38.893438,-77.076389,"1560-1598 Clarendon Blvd, Arlington, VA 22209, USA","22209"
"161",158974673,130,"Wilson Blvd & N Uhle St",31017,38.891696,-77.0846,"2055 Wilson Blvd, Arlington, VA 22201, USA","22201"
"162",158974674,131,"N Rhodes & 16th St N",31018,38.892164,-77.079375,"1605-1609 N Rhodes St, Arlington, VA 22209, USA","22209"
"163",158974675,132,"Fairfax Village",31706,38.86559,-76.952103,"3792-3794 Alabama Ave SE, Washington, DC 20020, USA","20020"
"164",158974676,133,"21st St & Constitution Ave NW",31261,38.892459,-77.046567,"101-299 21st St NW, Washington, DC, USA",NA
"165",158974677,134,"Wilson Blvd & N Edgewood St",31019,38.889,-77.0925,"2825-2847 Wilson Blvd, Arlington, VA 22201, USA","22201"
"166",158974678,135,"Columbia Rd & Belmont St NW",31113,38.920669,-77.04368,"1862 Columbia Rd NW, Washington, DC 20009, USA","20009"
"167",158974679,136,"Rhode Island & Connecticut Ave NW",31239,38.905996,-77.039802,"1740 Rhode Island Ave NW, Washington, DC 20036, USA","20036"
"168",158974680,137,"Thomas Circle",31241,38.9059,-77.0325,"1339-1403 Massachusetts Ave NW, Washington, DC 20005, USA","20005"
